url,thumbnail_url,created_at,play_count,play_count_increase,account_name,likes_count,comment_count,hashtags,music_info,caption,category,display_name,content_type,ten_days_increase,product,likes_count_increase,ten_days_likes_increase,comment_count_increase,ten_days_comment_increase,account_type,save_count,save_count_increase,video_id,ten_days_save_increase,is_pr
https://www.tiktok.com/@cutie_street/video/7524321378028326152,gs://tiktok-data-bucket/thumbnails/7524321378028326152.jpg,2025/7/8,82300,82300,cutie_street,10500,170,"川本笑瑠,板倉可奈,真鍋凪咲,キューにストップできません！,CUTIESTREET,きゅーすと,アイドル,KAWAII",キューにストップできません！ - メロメロになっちゃうぞ ver.,左右の手が違う事に気付いた？？ #川本笑瑠 #板倉可奈 #真鍋凪咲 #キューにストップできません！ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,82300,,10500,10500,170,170,"女性タレント・女優,アーティスト",770,770,7.52432E+18,770,0
https://www.tiktok.com/@cutie_street/video/7524347572912131336,gs://tiktok-data-bucket/thumbnails/7524347572912131336.jpg,2025/7/8,25200,25200,cutie_street,3115,69,"かわいいだけじゃだめですか？,CUTIESTREET,きゅーすと,アイドル,KAWAII",かわいいだけじゃだめですか？ - 1サビ,この動画を最後まで見た人 #かわいいだけじゃだめですか？ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,25200,,3115,3115,69,69,"女性タレント・女優,アーティスト",292,292,7.52435E+18,292,0
https://www.tiktok.com/@cutie_street/video/7524546763332668679,gs://tiktok-data-bucket/thumbnails/7524546763332668679.jpg,2025/7/8,41400,41400,cutie_street,4412,83,"真鍋凪咲,古澤里紗,キューにストップできません！,CUTIESTREET,きゅーすと,アイドル,KAWAII",キューにストップできません！ - メロメロになっちゃうぞ ver.,【あるある】適当に生きてたらインタビューされた #真鍋凪咲 #古澤里紗 #キューにストップできません！ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,41400,,4412,4412,83,83,"女性タレント・女優,アーティスト",393,393,7.52455E+18,393,0
https://www.tiktok.com/@cutie_street/video/7524574150564924679,gs://tiktok-data-bucket/thumbnails/7524574150564924679.jpg,2025/7/8,117000,117000,cutie_street,10700,180,"CUTIESTREET,きゅーすと,アイドル,KAWAII",かわいいだけじゃだめですか？ - 1サビ,【新衣装】騙されたと思って最後まで見てみて下さいよ、ねぇ ほら、ニヤケてますよ #CUTIESTREET #きゅーすと #アイドル #KAWAII,,CUTIE STREET,video,117000,,10700,10700,180,180,"女性タレント・女優,アーティスト",679,679,7.52457E+18,679,0
https://www.tiktok.com/@iphone.shell/video/7524257837736824072,gs://tiktok-data-bucket/thumbnails/7524257837736824072.jpg,2025/7/8,427,427,iphone.shell,38,0,"iphone,iphone16,iPhoneケース",明日の私に幸あれ (Anime Size),#iphone #iphone16 #iPhoneケース,,iPhoneケース,video,427,,38,38,0,0,その他,1,1,7.52426E+18,1,0
https://www.tiktok.com/@iphone.shell/video/7524258098937220370,gs://tiktok-data-bucket/thumbnails/7524258098937220370.jpg,2025/7/8,891,891,iphone.shell,50,1,"iphone,iphone16,iPhoneケース",いい波のってんねー,#iphone #iphone16 #iPhoneケース,,iPhoneケース,video,891,,50,50,1,1,その他,2,2,7.52426E+18,2,0
https://www.tiktok.com/@iphone.shell/video/7524258494871063816,gs://tiktok-data-bucket/thumbnails/7524258494871063816.jpg,2025/7/8,4197,4197,iphone.shell,81,1,"iphone,iphone16,iPhoneケース",Gambare Gambare Senpai,#iphone #iphone16 #iPhoneケース,,iPhoneケース,video,4197,,81,81,1,1,その他,2,2,7.52426E+18,2,0
https://www.tiktok.com/@iphone.shell/video/7524328315616775432,gs://tiktok-data-bucket/thumbnails/7524328315616775432.jpg,2025/7/8,848,848,iphone.shell,59,0,"iphone,iphone16pro,iPhoneケース",PING PONG,#iphone #iphone16pro #iPhoneケース,,iPhoneケース,video,848,,59,59,0,0,その他,2,2,7.52433E+18,2,0
https://www.tiktok.com/@iphone.shell/video/7524405567167728914,gs://tiktok-data-bucket/thumbnails/7524405567167728914.jpg,2025/7/8,477,477,iphone.shell,37,0,"iphone,iphone16,iPhoneケース",ぱ ぴ ぷ ぺ POP!(ミルクで乾杯～サビ ver.),#iphone #iphone16 #iPhoneケース,,iPhoneケース,video,477,,37,37,0,0,その他,1,1,7.52441E+18,1,0
https://www.tiktok.com/@iphone.shell/video/7524510731191012626,gs://tiktok-data-bucket/thumbnails/7524510731191012626.jpg,2025/7/8,952,952,iphone.shell,59,3,"iphone,iphone16,iPhoneケース",原声,#iphone #iphone16 #iPhoneケース,,iPhoneケース,video,952,,59,59,3,3,その他,0,0,7.52451E+18,0,0
https://www.tiktok.com/@masamidrums/video/7524303374347570440,https://storage.googleapis.com/tiktok-data-bucket/thumbnails/7524303374347570440.jpg,2025/7/8,115000,115000,masamidrums,10100,126,,楽しいケルト曲,ヤバすぎwwwww,,まさみ,video,115000,,10100,10100,126,126,エンタメ・おもしろ,271,271,7.5243E+18,271,0
https://www.tiktok.com/@sansochan1/video/7524344018642259218,https://storage.googleapis.com/tiktok-data-bucket/thumbnails/7524344018642259218.jpg,2025/7/8,41400,41400,sansochan1,5623,43,,som original,' by 酸素🧋🧸,,酸素🧋🧸,video,41400,,5623,5623,43,43,"エンタメ・おもしろ,女性インフルエンサー",756,756,7.52434E+18,756,0
https://www.tiktok.com/@sansochan1/video/7524344738766523655,https://storage.googleapis.com/tiktok-data-bucket/thumbnails/7524344738766523655.jpg,2025/7/8,61900,61900,sansochan1,8647,68,,黄色と茶色 (feat. 四国めたん),七夕なにお願い事したのー？' by 酸素🧋🧸,,酸素🧋🧸,video,61900,,8647,8647,68,68,"エンタメ・おもしろ,女性インフルエンサー",1146,1146,7.52434E+18,1146,0
https://www.tiktok.com/@meenmeen_0/video/7524295566986087688,gs://tiktok-data-bucket/thumbnails/7524295566986087688.jpg,2025/7/8,63600,63600,meenmeen_0,10600,121,,風のとおり道 (『となりのトトロ』より) [Cover Ver.],ひとりでいたい時間とひとりでいるしかなかった時間がある。' by セミ,,セミ,video,63600,,10600,10600,121,121,ライフスタイル,844,844,7.5243E+18,844,0
https://www.tiktok.com/@okanetameteiekatchauzo/video/7524174008560913684,gs://tiktok-data-bucket/thumbnails/7524174008560913684.jpg,2025/7/8,56700,56700,okanetameteiekatchauzo,2522,18,"tiktok教室,田舎暮らし,おすすめに乗りたい,古民家暮らし,古民家,ひみつ基地",オリジナル楽曲,鶏胸肉が簡単にぷるっぷるに大変身する方法紹介します！ #tiktok教室 #田舎暮らし #おすすめに乗りたい #古民家暮らし #古民家 #ひみつ基地,,ひみつ基地。,video,56700,,2522,2522,18,18,グルメ,664,664,7.52417E+18,664,0
